Id;LFNR;NAMEHOWA;NAMEENGL;NAMEHOLL;HollandseNaam;Description;Provincies;Species;Body;Lensen
1;1;Struthiocamelus;Ostrich;Struisvogel;Struisvogel;;Drenthe;Vogels;Canon R7;Tamron 150-600
2;2;Rheaamericana;GreaterRhea;Nandoe;Nandoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
3;3;Pterocnemiapennata;LesserRhea;DarwinsNandoe;Darwins Nandoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
4;4;Casuariuscasuarius;Double-wattledCassoway;Helmkasuaris;Helmkasuaris;;Drenthe;Vogels;Canon R7;Canon RF 200-800
5;5;Casuariusbennetti;DwarfCassoway;Dwergkasuaris;Dwergkasuaris;;Drenthe;Vogels;Canon R7;Canon RF 200-800
6;6;Casuariusunappendiculatus;One-wattledCassoway;Oranjehalskasuaris;Oranjehalskasuaris;;Drenthe;Vogels;Canon R7;Canon RF 200-800
7;7;Dromaiusnovaehollandiae;Emu;Emoe;Emoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
8;8;Apteryxaustralis;BrownKiwi;BruineKiwi;Bruine Kiwi;;Drenthe;Vogels;Canon R7;Canon RF 200-800
9;9;Apteryxowenii;LittleSpottedKiwi;KleineGrijzeKiwi;Kleine Grijze Kiwi;;Drenthe;Vogels;Canon R7;Canon RF 200-800
10;10;Apteryxhaastii;GreatSpottedKiwi;GroteGrijzeKiwi;Grote Grijze Kiwi;;Drenthe;Vogels;Canon R7;Canon RF 200-800
11;11;Tinamustao;GreyTinamou;GrijzeTinamoe;Grijze Tinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
12;12;Tinamussolitarius;SolitaryTinamou;Kluizenaarstinamoe;Kluizenaarstinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
13;13;Tinamusosgoodi;BlackTinamou;ZwarteTinamoe;Zwarte Tinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
14;14;Tinamusmajor;GreatTinamou;GroteTinamoe;Grote Tinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
15;15;Tinamusguttatus;White-throatedTinamou;Witkeeltinamoe;Witkeeltinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
16;16;Nothocercusbonapartei;HighlandTinamou;Bergtinamoe;Bergtinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
17;17;Nothocercusjulius;Tawny-breastedTinamou;Roodkoptinamoe;Roodkoptinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
18;18;Nothocercusnigrocapillus;HoodedTinamou;Zwartkaptinamoe;Zwartkaptinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
19;19;Crypturelluscinereus;CinereousTinamou;GrauweTinamoe;Grauwe Tinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
20;20;Crypturellusberlepschi;Berlepsch'sTinamou;Berlepsch'Tinamoe;Berlepsch' Tinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
21;21;Crypturellussoui;LittleTinamou;KleineTinamoe;Kleine Tinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
22;22;Crypturellusptaritepui;TepuiTinamou;Teptui-tinamoe;Teptui-tinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
23;23;Crypturellusobsoletus;BrownTinamou;BruineTinamoe;Bruine Tinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
24;24;Crypturellusundulatus;UndulatedTinamou;Marmertinamoe;Marmertinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
25;25;Crypturellustransfasciatus;Pale-browedTinamou;Wenkbrauwtinamoe;Wenkbrauwtinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
26;26;Crypturellusstrigulosus;BrazilianTinamou;BraziliaanseTinamoe;Braziliaanse Tinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
27;27;Crypturellusduidae;Grey-leggedTinamou;Grijspoottinamoe;Grijspoottinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
28;28;Crypturelluserythropus;Red-footedTinamou;Roodpoottinamoe;Roodpoottinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
29;29;Crypturellusnoctivagus;Yellow-leggedTinamou;Geelpoottinamoe;Geelpoottinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
30;30;Crypturellusatrocapillus;Black-cappedTinamou;Zwartkoptinamoe;Zwartkoptinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
31;31;Crypturelluscinnamomeus;ThicketTinamou;Struiktinamoe;Struiktinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
32;32;Crypturellusboucardi;Slaty-breastedTinamou;Grijsborsttinamoe;Grijsborst tinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
33;33;Crypturelluskerriae;ChocoTinamou;Choco-tinamoe;Choco-tinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
34;34;Crypturellusvariegatus;VariegatedTinamou;BonteTinamoe;Bonte Tinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
35;35;Crypturellusbrevirostris;RustyTinamou;RosseTinamoe;Rosse Tinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
36;36;Crypturellusbartletti;Bartlett'sTinamou;BarlettsTinamoe;Barletts Tinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
37;37;Crypturellusparvirostris;Small-billedTinamou;Kortsnaveltinamoe;Kortsnaveltinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
38;38;Crypturelluscasiquiare;BarredTinamou;GebandeerdeTinamoe;Gebandeerde Tinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
39;39;Crypturellustataupa;TataupaTinamou;Tataupa-tinamoe;Tataupa-tinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
40;40;Rhynchotusrufescens;Red-wingedTinamou;Pampa-hoen;Pampa-hoen;;Drenthe;Vogels;Canon R7;Canon RF 200-800
41;41;Nothoproctataczanowskii;Taczanowski'sTinamou;Taczanowski'sTinamoe;Taczanowski's Tinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
42;42;Nothoproctakalinowskii;Kalinowski'sTinamou;Kalinowski'sTinamoe;Kalinowski's Tinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
43;43;Nothoproctaornata;OrnateTinamou;Pisacca-tinamoe;Pisacca-tinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
44;44;Nothoproctaperdicaria;ChilianTinamou;ChileenseTinamoe;Chileense Tinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
45;45;Nothoproctacinerascens;BrushlandTinamou;Cordoba-tinamoe;Cordoba-tinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
46;46;Nothoproctapentlandii;AndeanTinamou;Andestinamoe;Andestinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
47;47;Nothoproctacurvirostris;Curve-billedTinamou;Krombektinamoe;Krombektinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
48;48;Nothuraboraquira;White-belliedNothura;Witbuiknothura;Witbuiknothura;;Drenthe;Vogels;Canon R7;Canon RF 200-800
49;49;Nothuraminor;LesserNothura;KleineNothura;Kleine Nothura;;Drenthe;Vogels;Canon R7;Canon RF 200-800
50;50;Nothuradarwinii;Darwin'sNothura;DarwinsNothura;Darwins Nothura;;Drenthe;Vogels;Canon R7;Canon RF 200-800
51;51;Nothuramaculosa;SpottedNothura;GevlekteNothura;Gevlekte Nothura;;Drenthe;Vogels;Canon R7;Canon RF 200-800
52;52;Nothuramaculosachacoensis;ChacoNothura;;;;Drenthe;Vogels;Canon R7;Canon RF 200-800
53;53;Taoniscusnanus;DwarfTinamou;Dwergtinamoe;Dwergtinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
54;54;Eudromiaelegans;ElegantCrested-Tinamou;Kuiftinamoe;Kuiftinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
55;55;Eudromiaformosa;QuebracoCrested-Tinamou;Quebracho-tinamoe;Quebracho-tinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
56;56;Tinamotispentlandii;PunaTinamou;Puna-tinamoe;Puna-tinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
57;57;Tinamotisingoufi;PatagonianTinamou;PatagonischeTinamoe;Patagonische Tinamoe;;Drenthe;Vogels;Canon R7;Canon RF 200-800
58;58;Aptenodytespatagonicus;KingPenguin;Koningspinguin;Koningspinguin;;Drenthe;Vogels;Canon R7;Canon RF 200-800
59;59;Aptenodytesforsteri;EmperorPenguin;Keizerspinguin;Keizerspinguin;;Drenthe;Vogels;Canon R7;Canon RF 200-800
60;60;Pygoscelispapua;GentooPenguin;Ezelspinguin;Ezelspinguin;;Drenthe;Vogels;Canon R7;Canon RF 200-800
61;61;Pygoscelisadeliae;AdeliePenguin;Adelie-pinguin;Adelie-pinguin;;Drenthe;Vogels;Canon R7;Canon RF 200-800
62;62;Pygoscelisantarctica;BeardedPenguin;Stormbandpinguin;Stormbandpinguin;;Drenthe;Vogels;Canon R7;Canon RF 200-800
63;63;Eudyptespachyrhynchus;VictoriaPenguin;FjordlandKuifpinguin;Fjordland Kuifpinguin;;Drenthe;Vogels;Canon R7;Canon RF 200-800
64;64;Eudyptesrobustus;SnaresI.Penguin;SnaresKuifpinguin;Snares Kuifpinguin;;Drenthe;Vogels;Canon R7;Canon RF 200-800
65;65;Eudyptessclateri;Big-crestedPenguin;GroteKuifpinguin;Grote Kuifpinguin;;Drenthe;Vogels;Canon R7;Canon RF 200-800
66;66;Eudypteschrysocome;RockhopperPenguin;Rotspinguin;Rotspinguin;;Drenthe;Vogels;Canon R7;Canon RF 200-800
